end_date,data_code,b1_factor_value,b2_factor_value,b3_factor_value,b4_factor_value,b5_factor_value,b6_factor_value
"2010.01.01","600664.SH",0.43088490456911510000,0.77682881544745640000,0.91899766899766900000,0.18267293485560780000,0.86204242216900440000,23.61261080445315500000
"2010.01.01","000501.SZ",0.19116321009918846000,0.85880933226065970000,0.52024708304735760000,0.36079328756674295000,0.38795585412667950000,32.11717729111674000000
"2010.01.01","600662.SH",0.96201052016364700000,0.58049807085233250000,0.75501519756838910000,0.96813559322033890000,0.95441327403352720000,61.87580027923982000000
"2010.01.01","000488.SZ",0.99068322981366460000,0.25984251968503935000,0.40540540540540543000,0.79793103448275860000,0.76441441441441440000,66.13645672528250000000
"2010.01.02","600664.SH",0.43088490456911510000,0.77682881544745640000,0.91899766899766900000,0.18267293485560780000,0.86198050282195990000,23.61261080445315500000
"2010.01.02","000501.SZ",0.19116321009918846000,0.85880933226065970000,0.52024708304735760000,0.36079328756674295000,0.38797377258915720000,32.11717729111674000000
"2010.01.02","600662.SH",0.96201052016364700000,0.58049807085233250000,0.75501519756838910000,0.96813559322033890000,0.95433555669574140000,61.87580027923982000000
"2010.01.02","000488.SZ",0.99068322981366460000,0.25984251968503935000,0.40540540540540543000,0.79793103448275860000,0.76433503452416700000,66.13645672528250000000
"2010.01.03","600664.SH",0.43088490456911510000,0.77682881544745640000,0.91899766899766900000,0.18267293485560780000,0.86191860465116280000,23.61261080445315500000
"2010.01.03","000501.SZ",0.19116321009918846000,0.85880933226065970000,0.52024708304735760000,0.36079328756674295000,0.38799168532139433000,32.11717729111674000000
"2010.01.03","600662.SH",0.96201052016364700000,0.58049807085233250000,0.75501519756838910000,0.96813559322033890000,0.95425786593707250000,61.87580027923982000000
"2010.01.03","000488.SZ",0.99068322981366460000,0.25984251968503935000,0.40540540540540543000,0.79793103448275860000,0.76425570228091230000,66.13645672528250000000
"2010.01.04","600664.SH",0.39965297860034704000,0.74823616784255480000,0.90151515151515150000,0.16924110141034251000,0.85689861514788860000,23.17794444421958400000
"2010.01.04","000501.SZ",0.18845807033363390000,0.85679806918744970000,0.51612903225806450000,0.35240274599542330000,0.38433253397282174000,31.81459284826638300000
"2010.01.04","600662.SH",0.95677570093457940000,0.57258064516129040000,0.74848116646415550000,0.96612466124661240000,0.95127372200376140000,61.01141191678245000000
"2010.01.04","000488.SZ",0.98944754810676590000,0.25423728813559320000,0.39635678391959800000,0.79255685733976570000,0.76327632763276330000,65.51835899887800000000
"2010.01.05","600664.SH",0.39421965317919080000,0.74201930215293240000,0.89691322073383810000,0.16644295302013423000,0.85452991452991460000,23.05010139709206000000
"2010.01.05","000501.SZ",0.18755635707844906000,0.85639581657280770000,0.51544269045984900000,0.35087719298245610000,0.38315217391304346000,31.77136649928776000000
"2010.01.05","600662.SH",0.96906012842965560000,0.59341044514546090000,0.75956284153005460000,0.96953283683141500000,0.95846153846153850000,63.02831809584964000000
"2010.01.05","000488.SZ",0.99565756823821340000,0.27404718693284935000,0.42875078468298805000,0.80922865013774100000,0.76724655068986200000,67.52717660969265000000
"2010.01.06","600664.SH",0.39421965317919080000,0.74201930215293240000,0.89691322073383810000,0.16644295302013423000,0.85446932148350710000,23.05010139709206000000
